SNP	Chromosome	GeneticDistance	Position	Phenotype	Pvalue	Qvalue	N	NumSNPsExcluded	IndexExclusionStart	DOF	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	NullLogDelta	NullGeneticVar	NullResidualVar	NullBias	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullCov05Weight	NullCov06Weight	LogDelta	GeneticVar	ResidualVar	Bias	Cov01Weight	Cov02Weight	Cov03Weight	Cov04Weight	Cov05Weight	Cov06Weight	SNPIndex	SNPCount
cg19103609	19	14543524.000000	14543524	Phenotype_001	1.653E-001	7.434E-001	204	0	84	1	1.777E+002	1.748E+002	1.155E-002	8.296E-003	1.033E+000	1.939E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.810E-001	1.409E-002	5.283E-003	8.186E-001	-9.690E-004	8.816E-003	1.269E-001	1.095E-001	5.148E-002	-1.827E-002	6234	7848
cg02774439	4	174451251.000000	174451251	Phenotype_001	1.654E-001	7.434E-001	204	0	23	1	1.777E+002	1.752E+002	-1.734E-002	1.246E-002	1.032E+000	1.938E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.063E+000	1.500E-002	5.181E-003	8.186E-001	-1.006E-003	8.142E-003	1.259E-001	1.090E-001	5.033E-002	-2.525E-002	1857	7848
cg15489301	7	134213038.000000	134213038	Phenotype_001	1.655E-001	7.434E-001	204	0	44	1	1.777E+002	1.746E+002	1.024E-002	7.358E-003	1.030E+000	1.938E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.853E-001	1.414E-002	5.277E-003	8.186E-001	-9.086E-004	8.721E-003	1.311E-001	1.153E-001	4.821E-002	-2.086E-002	2895	7848
cg23645091	12	52914409.000000	52914409	Phenotype_001	1.657E-001	7.436E-001	204	0	61	1	1.777E+002	1.745E+002	9.347E-003	6.717E-003	1.019E+000	1.936E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.082E+000	1.522E-002	5.158E-003	8.186E-001	-1.113E-003	6.748E-003	1.269E-001	1.061E-001	5.135E-002	-2.121E-002	4484	7848
cg23732024	8	74903801.000000	74903801	Phenotype_001	1.659E-001	7.436E-001	204	0	50	1	1.777E+002	1.747E+002	-1.037E-002	7.454E-003	1.031E+000	1.934E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.036E+000	1.470E-002	5.214E-003	8.186E-001	-1.086E-003	7.804E-003	1.279E-001	1.106E-001	4.864E-002	-1.708E-002	3123	7848
cg22506453	17	39122753.000000	39122753	Phenotype_001	1.659E-001	7.436E-001	204	0	79	1	1.777E+002	1.747E+002	1.050E-002	7.552E-003	1.024E+000	1.934E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.023E+000	1.454E-002	5.231E-003	8.186E-001	-1.079E-003	5.403E-003	1.271E-001	1.109E-001	5.303E-002	-1.659E-002	5743	7848
cg22775000	9	103235181.000000	103235181	Phenotype_001	1.660E-001	7.436E-001	204	0	51	1	1.777E+002	1.749E+002	1.369E-002	9.843E-003	1.022E+000	1.933E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.016E+000	1.447E-002	5.239E-003	8.186E-001	-1.061E-003	5.767E-003	1.295E-001	1.063E-001	5.056E-002	-6.766E-003	3330	7848
cg26482939	19	3136710.000000	3136710	Phenotype_001	1.661E-001	7.436E-001	204	0	83	1	1.777E+002	1.746E+002	1.010E-002	7.269E-003	1.023E+000	1.932E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.029E+000	1.461E-002	5.223E-003	8.186E-001	-9.500E-004	7.917E-003	1.285E-001	1.101E-001	5.111E-002	-2.164E-002	6125	7848
cg23681213	14	74180391.000000	74180391	Phenotype_001	1.662E-001	7.436E-001	204	0	69	1	1.777E+002	1.746E+002	9.532E-003	6.858E-003	1.025E+000	1.932E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.049E+000	1.484E-002	5.198E-003	8.186E-001	-1.023E-003	5.135E-003	1.271E-001	1.121E-001	5.280E-002	-1.785E-002	4964	7848
cg18530324	18	46064992.000000	46064992	Phenotype_001	1.662E-001	7.436E-001	204	0	81	1	1.777E+002	1.748E+002	1.279E-002	9.207E-003	1.029E+000	1.931E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.523E-001	1.379E-002	5.319E-003	8.186E-001	-1.061E-003	6.085E-003	1.302E-001	1.111E-001	5.303E-002	-1.873E-002	6016	7848
cg13672791	19	54416165.000000	54416165	Phenotype_001	1.665E-001	7.440E-001	204	0	87	1	1.777E+002	1.746E+002	-9.329E-003	6.718E-003	1.022E+000	1.928E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.025E+000	1.458E-002	5.227E-003	8.186E-001	-9.370E-004	5.856E-003	1.268E-001	1.104E-001	5.019E-002	-2.051E-002	6570	7848
cg02620228	23	13707694.000000	13707694	Phenotype_001	1.665E-001	7.440E-001	204	0	97	1	1.777E+002	1.746E+002	1.003E-002	7.220E-003	1.027E+000	1.928E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.013E+000	1.444E-002	5.243E-003	8.186E-001	-1.054E-003	6.775E-003	1.326E-001	1.114E-001	5.163E-002	-1.804E-002	7223	7848
cg23092086	16	55909573.000000	55909573	Phenotype_001	1.666E-001	7.440E-001	204	0	72	1	1.777E+002	1.748E+002	1.258E-002	9.062E-003	1.028E+000	1.928E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.854E-001	1.414E-002	5.278E-003	8.186E-001	-1.059E-003	6.603E-003	1.264E-001	1.086E-001	5.488E-002	-2.291E-002	5425	7848
cg24408313	18	60988465.000000	60988465	Phenotype_001	1.668E-001	7.443E-001	204	0	82	1	1.777E+002	1.747E+002	1.085E-002	7.817E-003	1.032E+000	1.926E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.706E-001	1.398E-002	5.296E-003	8.186E-001	-1.013E-003	7.846E-003	1.287E-001	1.128E-001	5.055E-002	-2.035E-002	6049	7848
cg25766774	3	45018909.000000	45018909	Phenotype_001	1.668E-001	7.443E-001	204	0	12	1	1.777E+002	1.749E+002	1.265E-002	9.114E-003	1.038E+000	1.925E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.019E+000	1.451E-002	5.235E-003	8.186E-001	-1.004E-003	8.758E-003	1.285E-001	1.096E-001	5.118E-002	-1.610E-002	1288	7848
cg10127415	23	26210523.000000	26210523	Phenotype_001	1.670E-001	7.445E-001	204	0	98	1	1.777E+002	1.749E+002	-1.303E-002	9.395E-003	1.029E+000	1.924E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.006E+000	1.436E-002	5.252E-003	8.186E-001	-9.750E-004	8.394E-003	1.319E-001	1.104E-001	4.799E-002	-1.920E-002	7282	7848
cg23901896	1	201976446.000000	201976446	Phenotype_001	1.671E-001	7.447E-001	204	0	2	1	1.777E+002	1.748E+002	1.224E-002	8.827E-003	1.026E+000	1.923E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.733E-001	1.401E-002	5.293E-003	8.186E-001	-1.107E-003	6.527E-003	1.281E-001	1.102E-001	5.275E-002	-2.021E-002	625	7848
cg09111484	12	80749651.000000	80749651	Phenotype_001	1.673E-001	7.451E-001	204	0	62	1	1.777E+002	1.746E+002	9.864E-003	7.116E-003	1.022E+000	1.921E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.008E+000	1.439E-002	5.249E-003	8.186E-001	-9.887E-004	6.493E-003	1.299E-001	1.105E-001	5.318E-002	-2.473E-002	4582	7848
cg13969584	16	90038469.000000	90038469	Phenotype_001	1.676E-001	7.458E-001	204	0	75	1	1.777E+002	1.748E+002	1.201E-002	8.669E-003	1.024E+000	1.919E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.036E+000	1.469E-002	5.215E-003	8.186E-001	-8.822E-004	9.454E-003	1.297E-001	1.154E-001	5.411E-002	-1.540E-002	5552	7848
cg14333565	19	5824065.000000	5824065	Phenotype_001	1.677E-001	7.458E-001	204	0	83	1	1.777E+002	1.747E+002	-1.055E-002	7.615E-003	1.022E+000	1.918E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.024E+000	1.456E-002	5.230E-003	8.186E-001	-8.888E-004	6.379E-003	1.284E-001	1.087E-001	4.844E-002	-1.547E-002	6160	7848
cg02655623	17	3728468.000000	3728468	Phenotype_001	1.678E-001	7.458E-001	204	0	76	1	1.777E+002	1.745E+002	-8.948E-003	6.463E-003	1.028E+000	1.916E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.021E+000	1.453E-002	5.233E-003	8.186E-001	-9.072E-004	4.729E-003	1.282E-001	1.105E-001	5.187E-002	-1.796E-002	5578	7848
cg03127334	21	40033634.000000	40033634	Phenotype_001	1.679E-001	7.458E-001	204	0	96	1	1.777E+002	1.749E+002	1.296E-002	9.359E-003	1.025E+000	1.916E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.971E-001	1.427E-002	5.263E-003	8.186E-001	-9.875E-004	1.114E-002	1.285E-001	1.099E-001	5.126E-002	-1.409E-002	6986	7848
cg24101578	20	44880263.000000	44880263	Phenotype_001	1.679E-001	7.458E-001	204	0	94	1	1.777E+002	1.748E+002	-1.185E-002	8.559E-003	1.026E+000	1.916E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.022E+000	1.454E-002	5.232E-003	8.186E-001	-1.098E-003	8.313E-003	1.267E-001	1.090E-001	5.144E-002	-2.900E-002	6830	7848
cg00347904	6	35182508.000000	35182508	Phenotype_001	1.681E-001	7.462E-001	204	0	30	1	1.777E+002	1.748E+002	1.211E-002	8.757E-003	1.021E+000	1.914E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.006E+000	1.436E-002	5.252E-003	8.186E-001	-9.037E-004	6.365E-003	1.323E-001	1.120E-001	5.500E-002	-1.449E-002	2355	7848
cg10885338	2	106682640.000000	106682640	Phenotype_001	1.683E-001	7.468E-001	204	0	8	1	1.777E+002	1.750E+002	-1.525E-002	1.103E-002	1.043E+000	1.912E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.946E-001	1.424E-002	5.266E-003	8.186E-001	-1.015E-003	3.303E-003	1.304E-001	1.081E-001	5.194E-002	-2.230E-002	951	7848
cg24670151	17	73256558.000000	73256558	Phenotype_001	1.686E-001	7.470E-001	204	0	81	1	1.777E+002	1.745E+002	8.845E-003	6.402E-003	1.024E+000	1.909E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.039E+000	1.473E-002	5.211E-003	8.186E-001	-9.599E-004	9.650E-003	1.266E-001	1.101E-001	4.808E-002	-1.829E-002	5903	7848
cg09584711	16	72096944.000000	72096944	Phenotype_001	1.688E-001	7.470E-001	204	0	75	1	1.777E+002	1.747E+002	-1.030E-002	7.461E-003	1.024E+000	1.907E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.012E+000	1.443E-002	5.244E-003	8.186E-001	-9.696E-004	6.314E-003	1.280E-001	1.083E-001	5.218E-002	-1.843E-002	5496	7848
cg25310567	7	151653890.000000	151653890	Phenotype_001	1.688E-001	7.470E-001	204	0	45	1	1.777E+002	1.750E+002	1.411E-002	1.022E-002	1.042E+000	1.907E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.753E-001	1.403E-002	5.291E-003	8.186E-001	-9.521E-004	8.486E-003	1.278E-001	1.110E-001	5.126E-002	-2.372E-002	2952	7848
cg08338368	12	68620926.000000	68620926	Phenotype_001	1.691E-001	7.470E-001	204	0	62	1	1.777E+002	1.746E+002	-1.003E-002	7.268E-003	1.022E+000	1.905E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.060E+000	1.497E-002	5.185E-003	8.186E-001	-1.002E-003	8.263E-003	1.271E-001	1.082E-001	4.939E-002	-1.853E-002	4566	7848
cg19439399	6	80656595.000000	80656595	Phenotype_001	1.692E-001	7.470E-001	204	0	35	1	1.777E+002	1.751E+002	1.573E-002	1.140E-002	1.025E+000	1.904E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.081E+000	1.521E-002	5.160E-003	8.186E-001	-9.875E-004	7.661E-003	1.255E-001	1.107E-001	5.075E-002	4.887E-004	2450	7848
cg05241571	19	35981224.000000	35981224	Phenotype_001	1.693E-001	7.470E-001	204	0	85	1	1.777E+002	1.750E+002	1.424E-002	1.032E-002	1.029E+000	1.903E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.874E-001	1.416E-002	5.276E-003	8.186E-001	-1.033E-003	7.717E-003	1.284E-001	1.119E-001	5.268E-002	-2.694E-002	6332	7848
cg00407150	3	42743794.000000	42743794	Phenotype_001	1.693E-001	7.470E-001	204	0	12	1	1.777E+002	1.749E+002	1.340E-002	9.712E-003	1.027E+000	1.903E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.009E+000	1.440E-002	5.248E-003	8.186E-001	-1.050E-003	8.508E-003	1.295E-001	1.119E-001	5.221E-002	-2.664E-002	1276	7848
cg27015047	10	124320805.000000	124320805	Phenotype_001	1.693E-001	7.470E-001	204	0	55	1	1.777E+002	1.748E+002	-1.161E-002	8.416E-003	1.024E+000	1.903E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.047E+000	1.481E-002	5.202E-003	8.186E-001	-9.460E-004	5.750E-003	1.296E-001	1.073E-001	4.961E-002	-1.492E-002	3708	7848
cg12240237	7	73946402.000000	73946402	Phenotype_001	1.695E-001	7.470E-001	204	0	41	1	1.777E+002	1.747E+002	-1.166E-002	8.456E-003	1.029E+000	1.902E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.092E+000	1.533E-002	5.147E-003	8.186E-001	-1.098E-003	3.799E-003	1.284E-001	1.097E-001	5.071E-002	-1.512E-002	2734	7848
cg12288726	7	127227857.000000	127227857	Phenotype_001	1.695E-001	7.470E-001	204	1	43	1	1.761E+002	1.730E+002	9.590E-003	6.955E-003	1.044E+000	1.901E+000	-1.022E+000	1.490E-002	5.362E-003	8.186E-001	3.078E-003	1.250E-001	1.068E-001	5.387E-002	-2.157E-002	8.186E-001	-1.005E+000	1.463E-002	5.359E-003	8.186E-001	-9.837E-004	2.511E-003	1.290E-001	1.114E-001	5.346E-002	-2.056E-002	2863	7848
cg12311132	11	32112154.000000	32112154	Phenotype_001	1.695E-001	7.470E-001	204	0	56	1	1.777E+002	1.747E+002	1.055E-002	7.650E-003	1.032E+000	1.901E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.766E-001	1.404E-002	5.289E-003	8.186E-001	-1.083E-003	6.501E-003	1.337E-001	1.125E-001	5.083E-002	-2.082E-002	3931	7848
cg00895324	21	41238517.000000	41238517	Phenotype_001	1.696E-001	7.470E-001	204	0	96	1	1.777E+002	1.747E+002	1.066E-002	7.733E-003	1.020E+000	1.901E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.047E+000	1.482E-002	5.201E-003	8.186E-001	-1.078E-003	8.759E-003	1.276E-001	1.121E-001	5.065E-002	-2.215E-002	6992	7848
cg23972869	19	49123742.000000	49123742	Phenotype_001	1.696E-001	7.470E-001	204	0	85	1	1.777E+002	1.746E+002	-9.626E-003	6.983E-003	1.033E+000	1.900E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.064E+000	1.502E-002	5.180E-003	8.186E-001	-9.055E-004	7.104E-003	1.263E-001	1.073E-001	4.952E-002	-1.618E-002	6474	7848
cg20972214	12	8088818.000000	8088818	Phenotype_001	1.697E-001	7.470E-001	204	0	61	1	1.777E+002	1.746E+002	9.786E-003	7.101E-003	1.020E+000	1.899E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.887E-001	1.418E-002	5.274E-003	8.186E-001	-9.270E-004	8.442E-003	1.288E-001	1.118E-001	5.066E-002	-1.798E-002	4345	7848
cg06044899	4	91760229.000000	91760229	Phenotype_001	1.699E-001	7.474E-001	204	0	21	1	1.777E+002	1.746E+002	-9.922E-003	7.203E-003	1.026E+000	1.898E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.008E+000	1.438E-002	5.250E-003	8.186E-001	-1.068E-003	6.608E-004	1.290E-001	1.104E-001	5.083E-002	-1.972E-002	1769	7848
cg11079619	7	41742630.000000	41742630	Phenotype_001	1.700E-001	7.474E-001	204	0	41	1	1.777E+002	1.746E+002	-1.023E-002	7.425E-003	1.021E+000	1.897E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.034E+000	1.467E-002	5.218E-003	8.186E-001	-1.046E-003	8.916E-003	1.247E-001	1.117E-001	5.248E-002	-1.697E-002	2686	7848
cg15565872	3	157155202.000000	157155202	Phenotype_001	1.701E-001	7.475E-001	204	0	15	1	1.777E+002	1.749E+002	-1.382E-002	1.003E-002	1.023E+000	1.896E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.119E+000	1.566E-002	5.113E-003	8.186E-001	-1.058E-003	7.547E-003	1.240E-001	1.093E-001	5.366E-002	-3.013E-002	1515	7848
cg04996020	7	107443898.000000	107443898	Phenotype_001	1.705E-001	7.487E-001	204	0	43	1	1.777E+002	1.749E+002	1.312E-002	9.536E-003	1.042E+000	1.892E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.845E-001	1.413E-002	5.280E-003	8.186E-001	-1.012E-003	7.946E-003	1.286E-001	1.089E-001	5.183E-002	-2.304E-002	2839	7848
cg19979896	6	150212118.000000	150212118	Phenotype_001	1.706E-001	7.487E-001	204	0	38	1	1.777E+002	1.748E+002	1.219E-002	8.866E-003	1.035E+000	1.892E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.048E+000	1.483E-002	5.201E-003	8.186E-001	-9.813E-004	7.640E-003	1.257E-001	1.095E-001	5.125E-002	-1.736E-002	2551	7848
cg04444771	10	45473712.000000	45473712	Phenotype_001	1.710E-001	7.492E-001	204	0	53	1	1.777E+002	1.746E+002	-9.536E-003	6.940E-003	1.026E+000	1.888E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.062E+000	1.499E-002	5.184E-003	8.186E-001	-1.051E-003	6.242E-003	1.280E-001	1.097E-001	5.363E-002	-1.629E-002	3540	7848
cg05955301	1	203444536.000000	203444536	Phenotype_001	1.711E-001	7.492E-001	204	0	2	1	1.777E+002	1.747E+002	1.106E-002	8.049E-003	1.031E+000	1.887E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.018E+000	1.450E-002	5.238E-003	8.186E-001	-9.716E-004	6.084E-003	1.292E-001	1.097E-001	5.388E-002	-2.107E-002	636	7848
cg16638540	19	58570468.000000	58570468	Phenotype_001	1.713E-001	7.492E-001	204	1	89	1	1.776E+002	1.754E+002	-2.402E-002	1.749E-002	1.060E+000	1.886E+000	-1.022E+000	1.465E-002	5.272E-003	8.186E-001	5.972E-003	1.280E-001	1.107E-001	5.176E-002	-1.954E-002	8.186E-001	-1.070E+000	1.513E-002	5.190E-003	8.186E-001	-9.993E-004	6.807E-003	1.278E-001	1.087E-001	5.159E-002	-1.811E-002	6638	7848
cg18895813	21	28339705.000000	28339705	Phenotype_001	1.713E-001	7.492E-001	204	0	95	1	1.777E+002	1.747E+002	1.139E-002	8.296E-003	1.023E+000	1.885E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.005E+000	1.436E-002	5.254E-003	8.186E-001	-1.059E-003	4.727E-003	1.301E-001	1.122E-001	5.173E-002	-1.597E-002	6949	7848
cg27491887	11	2554583.000000	2554583	Phenotype_001	1.714E-001	7.492E-001	204	0	55	1	1.777E+002	1.746E+002	-9.502E-003	6.922E-003	1.022E+000	1.884E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.039E+000	1.473E-002	5.212E-003	8.186E-001	-1.078E-003	6.246E-003	1.288E-001	1.092E-001	4.909E-002	-1.789E-002	3824	7848
cg23213217	1	224370155.000000	224370155	Phenotype_001	1.715E-001	7.492E-001	204	0	2	1	1.777E+002	1.747E+002	-1.170E-002	8.523E-003	1.040E+000	1.884E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.099E+000	1.542E-002	5.138E-003	8.186E-001	-1.084E-003	4.209E-003	1.242E-001	1.074E-001	4.924E-002	-1.470E-002	697	7848
cg05028467	5	176057097.000000	176057097	Phenotype_001	1.715E-001	7.492E-001	204	0	28	1	1.777E+002	1.751E+002	-1.615E-002	1.176E-002	1.026E+000	1.884E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.036E+000	1.470E-002	5.216E-003	8.186E-001	-9.647E-004	7.175E-003	1.227E-001	1.085E-001	5.415E-002	-3.405E-002	2179	7848
cg02654291	9	86572014.000000	86572014	Phenotype_001	1.717E-001	7.492E-001	204	0	50	1	1.777E+002	1.750E+002	1.506E-002	1.098E-002	1.041E+000	1.882E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.551E-001	1.382E-002	5.317E-003	8.186E-001	-1.135E-003	7.734E-003	1.295E-001	1.096E-001	5.347E-002	-2.297E-002	3307	7848
cg15461516	11	45686369.000000	45686369	Phenotype_001	1.717E-001	7.492E-001	204	0	57	1	1.777E+002	1.751E+002	-1.642E-002	1.197E-002	1.027E+000	1.882E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.060E+000	1.496E-002	5.187E-003	8.186E-001	-1.071E-003	7.524E-003	1.255E-001	1.111E-001	5.095E-002	-3.373E-002	3986	7848
cg24027679	1	9086621.000000	9086621	Phenotype_001	1.718E-001	7.492E-001	204	0	1	1	1.777E+002	1.746E+002	9.642E-003	7.031E-003	1.020E+000	1.881E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.019E+000	1.451E-002	5.236E-003	8.186E-001	-1.148E-003	8.458E-003	1.284E-001	1.097E-001	5.171E-002	-1.997E-002	31	7848
cg20492912	11	118230053.000000	118230053	Phenotype_001	1.718E-001	7.492E-001	204	0	60	1	1.777E+002	1.747E+002	1.076E-002	7.849E-003	1.026E+000	1.881E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.739E-001	1.402E-002	5.293E-003	8.186E-001	-1.061E-003	1.008E-002	1.293E-001	1.127E-001	5.354E-002	-1.774E-002	4239	7848
cg20831708	10	102279373.000000	102279373	Phenotype_001	1.720E-001	7.492E-001	204	0	54	1	1.777E+002	1.751E+002	-1.601E-002	1.168E-002	1.054E+000	1.879E+000	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.076E+000	1.515E-002	5.167E-003	8.186E-001	-1.036E-003	5.134E-003	1.262E-001	1.089E-001	5.013E-002	-1.761E-002	3649	7848
