SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SnpWeight	SnpWeightSE	OddsRatio	WaldStat	NullBias	NullCov00Weight	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullVar
cg26035366	3	26664621.000000	26664621	3.151E-017	6.017E-016	204	1.243E+001	4.834E+001	1.454E-001	1.567E-002	1.279E+000	8.609E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26219051	22	43739629.000000	43739629	3.168E-017	6.035E-016	204	1.243E+001	4.833E+001	1.503E-001	1.620E-002	1.350E+000	8.607E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19292008	9	100615796.000000	100615796	3.383E-017	6.429E-016	204	1.243E+001	4.827E+001	1.523E-001	1.644E-002	1.286E+000	8.589E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26111757	20	31642120.000000	31642120	3.438E-017	6.517E-016	204	1.243E+001	4.825E+001	-1.520E-001	1.640E-002	1.389E+000	8.584E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23297477	16	66638293.000000	66638293	3.565E-017	6.741E-016	204	1.243E+001	4.821E+001	1.434E-001	1.548E-002	1.269E+000	8.574E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25511807	11	102401438.000000	102401438	3.671E-017	6.925E-016	204	1.243E+001	4.818E+001	-1.557E-001	1.683E-002	1.438E+000	8.565E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06668300	2	95691755.000000	95691755	3.681E-017	6.928E-016	204	1.243E+001	4.818E+001	1.516E-001	1.639E-002	1.270E+000	8.565E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11038843	11	134281391.000000	134281391	4.335E-017	8.139E-016	204	1.243E+001	4.802E+001	1.517E-001	1.644E-002	1.308E+000	8.518E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22609576	13	36920662.000000	36920662	4.396E-017	8.234E-016	204	1.243E+001	4.800E+001	1.489E-001	1.613E-002	1.270E+000	8.514E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg16584573	10	103535637.000000	103535637	4.717E-017	8.814E-016	204	1.243E+001	4.793E+001	1.610E-001	1.747E-002	1.252E+000	8.494E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18223379	20	31619647.000000	31619647	4.785E-017	8.920E-016	204	1.243E+001	4.792E+001	-1.648E-001	1.789E-002	1.392E+000	8.490E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18399321	22	39853590.000000	39853590	4.813E-017	8.950E-016	204	1.243E+001	4.791E+001	1.510E-001	1.639E-002	1.311E+000	8.489E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13462129	7	96651281.000000	96651281	5.131E-017	9.520E-016	204	1.243E+001	4.785E+001	1.603E-001	1.742E-002	1.461E+000	8.471E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10918202	8	104153173.000000	104153173	5.382E-017	9.962E-016	204	1.243E+001	4.780E+001	1.463E-001	1.591E-002	1.237E+000	8.457E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04329382	22	46480891.000000	46480891	5.528E-017	1.021E-015	204	1.243E+001	4.777E+001	-1.571E-001	1.709E-002	1.392E+000	8.450E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26186727	18	70534534.000000	70534534	5.577E-017	1.027E-015	204	1.243E+001	4.777E+001	1.474E-001	1.604E-002	1.590E+000	8.447E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07295678	10	134000009.000000	134000009	5.686E-017	1.045E-015	204	1.243E+001	4.775E+001	1.526E-001	1.660E-002	1.314E+000	8.442E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13991233	17	10102558.000000	10102558	5.930E-017	1.087E-015	204	1.243E+001	4.770E+001	1.429E-001	1.557E-002	1.264E+000	8.430E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10159529	3	3152530.000000	3152530	6.514E-017	1.192E-015	204	1.243E+001	4.761E+001	-1.475E-001	1.609E-002	1.293E+000	8.403E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02757432	10	125426048.000000	125426048	7.247E-017	1.323E-015	204	1.243E+001	4.750E+001	1.579E-001	1.725E-002	1.688E+000	8.373E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25999867	11	134145940.000000	134145940	7.465E-017	1.359E-015	204	1.243E+001	4.747E+001	1.491E-001	1.631E-002	1.247E+000	8.365E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01474260	22	17073884.000000	17073884	7.694E-017	1.398E-015	204	1.243E+001	4.744E+001	-1.461E-001	1.598E-002	1.382E+000	8.356E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17457560	8	32405851.000000	32405851	8.089E-017	1.466E-015	204	1.243E+001	4.739E+001	1.435E-001	1.571E-002	1.256E+000	8.342E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11656547	9	72658747.000000	72658747	8.318E-017	1.504E-015	204	1.243E+001	4.737E+001	1.515E-001	1.660E-002	1.308E+000	8.334E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00995520	1	111218282.000000	111218282	8.577E-017	1.547E-015	204	1.243E+001	4.734E+001	1.452E-001	1.592E-002	1.386E+000	8.326E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19776201	19	58951434.000000	58951434	8.617E-017	1.551E-015	204	1.243E+001	4.733E+001	1.465E-001	1.605E-002	1.304E+000	8.324E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10303487	8	105479058.000000	105479058	8.652E-017	1.554E-015	204	1.243E+001	4.733E+001	1.527E-001	1.674E-002	1.548E+000	8.323E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15343119	18	74961785.000000	74961785	8.790E-017	1.575E-015	204	1.243E+001	4.731E+001	1.485E-001	1.629E-002	1.283E+000	8.319E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10114327	4	122301573.000000	122301573	8.986E-017	1.606E-015	204	1.243E+001	4.729E+001	1.452E-001	1.593E-002	1.415E+000	8.313E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03289872	19	56989102.000000	56989102	9.573E-017	1.707E-015	204	1.243E+001	4.723E+001	1.478E-001	1.623E-002	1.385E+000	8.295E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg27560864	11	118024339.000000	118024339	1.100E-016	1.954E-015	204	1.243E+001	4.709E+001	1.365E-001	1.502E-002	1.454E+000	8.256E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04956382	5	137203640.000000	137203640	1.101E-016	1.954E-015	204	1.243E+001	4.709E+001	-1.563E-001	1.720E-002	1.348E+000	8.256E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25886284	19	36909418.000000	36909418	1.255E-016	2.223E-015	204	1.243E+001	4.696E+001	1.509E-001	1.665E-002	1.290E+000	8.219E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg16708281	2	114256673.000000	114256673	1.259E-016	2.226E-015	204	1.243E+001	4.695E+001	1.517E-001	1.673E-002	1.530E+000	8.218E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04418492	8	65711327.000000	65711327	1.266E-016	2.232E-015	204	1.243E+001	4.695E+001	1.408E-001	1.553E-002	1.282E+000	8.216E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18533225	22	50986813.000000	50986813	1.276E-016	2.245E-015	204	1.243E+001	4.694E+001	1.409E-001	1.554E-002	1.320E+000	8.214E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02332525	3	6903153.000000	6903153	1.291E-016	2.267E-015	204	1.243E+001	4.693E+001	1.549E-001	1.710E-002	1.743E+000	8.211E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19576304	18	56940022.000000	56940022	1.357E-016	2.377E-015	204	1.243E+001	4.688E+001	1.412E-001	1.559E-002	1.487E+000	8.197E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15747595	8	98289880.000000	98289880	1.523E-016	2.661E-015	204	1.243E+001	4.676E+001	1.580E-001	1.748E-002	1.610E+000	8.165E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15540820	3	27765283.000000	27765283	1.535E-016	2.676E-015	204	1.243E+001	4.676E+001	1.551E-001	1.717E-002	1.481E+000	8.163E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19629292	3	62358980.000000	62358980	1.567E-016	2.727E-015	204	1.243E+001	4.673E+001	1.490E-001	1.649E-002	1.307E+000	8.157E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg27114120	20	5296302.000000	5296302	1.657E-016	2.876E-015	204	1.243E+001	4.668E+001	1.536E-001	1.702E-002	1.400E+000	8.141E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12145907	5	140864834.000000	140864834	1.684E-016	2.918E-015	204	1.243E+001	4.666E+001	1.519E-001	1.684E-002	1.370E+000	8.137E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17586860	20	23015906.000000	23015906	1.692E-016	2.925E-015	204	1.243E+001	4.666E+001	1.478E-001	1.638E-002	1.600E+000	8.135E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05331214	2	167343774.000000	167343774	1.697E-016	2.927E-015	204	1.243E+001	4.665E+001	-1.635E-001	1.812E-002	1.403E+000	8.134E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26756083	8	89339622.000000	89339622	1.707E-016	2.938E-015	204	1.243E+001	4.665E+001	1.375E-001	1.525E-002	1.220E+000	8.133E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25942450	5	170736251.000000	170736251	1.712E-016	2.940E-015	204	1.243E+001	4.665E+001	1.491E-001	1.654E-002	1.306E+000	8.132E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00970325	3	142683176.000000	142683176	1.865E-016	3.195E-015	204	1.243E+001	4.656E+001	1.426E-001	1.583E-002	1.304E+000	8.108E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12205230	1	154164951.000000	154164951	2.131E-016	3.643E-015	204	1.243E+001	4.643E+001	-1.419E-001	1.579E-002	1.432E+000	8.071E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26738880	7	154429032.000000	154429032	2.147E-016	3.663E-015	204	1.243E+001	4.642E+001	-1.526E-001	1.699E-002	1.386E+000	8.069E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26721264	18	74961727.000000	74961727	2.191E-016	3.730E-015	204	1.243E+001	4.640E+001	1.500E-001	1.670E-002	1.257E+000	8.063E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06557358	17	32907002.000000	32907002	2.205E-016	3.742E-015	204	1.243E+001	4.639E+001	1.425E-001	1.587E-002	1.254E+000	8.061E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03755123	10	135043508.000000	135043508	2.207E-016	3.742E-015	204	1.243E+001	4.639E+001	1.388E-001	1.546E-002	1.411E+000	8.061E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12645220	20	9819272.000000	9819272	2.228E-016	3.769E-015	204	1.243E+001	4.638E+001	1.331E-001	1.483E-002	1.256E+000	8.059E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07054095	19	58038856.000000	58038856	2.327E-016	3.928E-015	204	1.243E+001	4.634E+001	1.439E-001	1.604E-002	1.258E+000	8.046E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11639651	10	70979811.000000	70979811	2.383E-016	4.013E-015	204	1.243E+001	4.632E+001	-1.492E-001	1.664E-002	1.320E+000	8.040E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05932408	20	48184639.000000	48184639	2.530E-016	4.252E-015	204	1.243E+001	4.626E+001	1.487E-001	1.660E-002	1.282E+000	8.023E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11611600	15	84323154.000000	84323154	2.589E-016	4.341E-015	204	1.243E+001	4.623E+001	1.440E-001	1.608E-002	1.404E+000	8.017E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24507762	20	48099890.000000	48099890	2.706E-016	4.529E-015	204	1.243E+001	4.619E+001	1.410E-001	1.576E-002	1.504E+000	8.004E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05558390	20	57415377.000000	57415377	2.831E-016	4.727E-015	204	1.243E+001	4.614E+001	1.471E-001	1.646E-002	1.362E+000	7.992E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20011352	8	37655269.000000	37655269	2.842E-016	4.736E-015	204	1.243E+001	4.614E+001	1.437E-001	1.607E-002	1.360E+000	7.991E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18592174	10	50817306.000000	50817306	2.885E-016	4.796E-015	204	1.243E+001	4.613E+001	1.439E-001	1.610E-002	1.401E+000	7.987E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05389335	4	104641319.000000	104641319	2.921E-016	4.847E-015	204	1.243E+001	4.611E+001	1.515E-001	1.696E-002	1.359E+000	7.983E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg27352992	12	41087092.000000	41087092	3.090E-016	5.116E-015	204	1.243E+001	4.606E+001	1.415E-001	1.585E-002	1.313E+000	7.968E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10447080	6	76203225.000000	76203225	3.255E-016	5.378E-015	204	1.243E+001	4.600E+001	-1.483E-001	1.662E-002	1.345E+000	7.953E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07104706	13	84456127.000000	84456127	3.380E-016	5.573E-015	204	1.243E+001	4.597E+001	1.540E-001	1.728E-002	1.489E+000	7.943E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13755070	11	128563714.000000	128563714	3.459E-016	5.692E-015	204	1.243E+001	4.594E+001	1.445E-001	1.621E-002	1.297E+000	7.936E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02764897	21	31768311.000000	31768311	3.517E-016	5.775E-015	204	1.243E+001	4.593E+001	-1.581E-001	1.775E-002	1.464E+000	7.932E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18972811	4	20254736.000000	20254736	3.568E-016	5.846E-015	204	1.243E+001	4.591E+001	1.473E-001	1.654E-002	1.276E+000	7.928E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25388528	21	31987978.000000	31987978	3.581E-016	5.855E-015	204	1.243E+001	4.591E+001	-1.580E-001	1.774E-002	1.447E+000	7.927E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12699371	18	74961424.000000	74961424	3.818E-016	6.230E-015	204	1.243E+001	4.585E+001	1.496E-001	1.682E-002	1.281E+000	7.909E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20831708	10	102279373.000000	102279373	3.876E-016	6.310E-015	204	1.243E+001	4.583E+001	1.453E-001	1.635E-002	1.610E+000	7.905E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03998348	15	38227285.000000	38227285	3.885E-016	6.313E-015	204	1.243E+001	4.583E+001	-1.464E-001	1.647E-002	1.354E+000	7.904E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25047001	16	10277017.000000	10277017	3.944E-016	6.395E-015	204	1.243E+001	4.581E+001	1.477E-001	1.661E-002	1.354E+000	7.900E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18979491	20	36974445.000000	36974445	4.125E-016	6.675E-015	204	1.243E+001	4.577E+001	-1.465E-001	1.650E-002	1.394E+000	7.888E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25935911	9	122132261.000000	122132261	4.247E-016	6.858E-015	204	1.243E+001	4.574E+001	1.468E-001	1.653E-002	1.430E+000	7.879E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14056644	4	111559105.000000	111559105	4.338E-016	6.991E-015	204	1.243E+001	4.572E+001	1.408E-001	1.587E-002	1.310E+000	7.874E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00708598	13	53313895.000000	53313895	4.368E-016	7.025E-015	204	1.243E+001	4.571E+001	1.491E-001	1.681E-002	1.367E+000	7.872E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22680204	4	5895098.000000	5895098	4.441E-016	7.102E-015	204	1.243E+001	4.569E+001	1.573E-001	1.773E-002	1.451E+000	7.867E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02257405	5	131346985.000000	131346985	4.442E-016	7.102E-015	204	1.243E+001	4.569E+001	1.435E-001	1.618E-002	1.455E+000	7.867E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07084163	5	36066783.000000	36066783	4.444E-016	7.102E-015	204	1.243E+001	4.569E+001	1.472E-001	1.660E-002	1.472E+000	7.867E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11762346	10	70980112.000000	70980112	4.459E-016	7.112E-015	204	1.243E+001	4.569E+001	-1.523E-001	1.717E-002	1.316E+000	7.866E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00136477	1	22970339.000000	22970339	4.632E-016	7.374E-015	204	1.243E+001	4.565E+001	-1.412E-001	1.593E-002	1.348E+000	7.855E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00679556	6	30080782.000000	30080782	4.858E-016	7.717E-015	204	1.243E+001	4.561E+001	-1.619E-001	1.828E-002	1.409E+000	7.842E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23328404	8	19539991.000000	19539991	4.931E-016	7.818E-015	204	1.243E+001	4.559E+001	-1.325E-001	1.496E-002	1.333E+000	7.838E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04086012	4	189060900.000000	189060900	5.198E-016	8.225E-015	204	1.243E+001	4.554E+001	-1.395E-001	1.577E-002	1.314E+000	7.824E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15817236	11	44331362.000000	44331362	5.289E-016	8.352E-015	204	1.243E+001	4.552E+001	1.472E-001	1.665E-002	1.257E+000	7.819E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13749822	4	145566663.000000	145566663	5.303E-016	8.357E-015	204	1.243E+001	4.552E+001	1.417E-001	1.603E-002	1.294E+000	7.818E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10235817	4	3768555.000000	3768555	5.395E-016	8.478E-015	204	1.243E+001	4.550E+001	1.403E-001	1.587E-002	1.509E+000	7.813E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12707233	23	54384964.000000	54384964	5.401E-016	8.478E-015	204	1.243E+001	4.550E+001	1.564E-001	1.769E-002	1.483E+000	7.813E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17279839	7	150038598.000000	150038598	5.495E-016	8.607E-015	204	1.243E+001	4.548E+001	1.555E-001	1.760E-002	1.450E+000	7.808E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19345602	11	125615388.000000	125615388	5.544E-016	8.667E-015	204	1.243E+001	4.547E+001	-1.523E-001	1.724E-002	1.479E+000	7.806E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05774801	4	154709756.000000	154709756	5.582E-016	8.709E-015	204	1.243E+001	4.547E+001	1.457E-001	1.649E-002	1.286E+000	7.804E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03630088	10	125651526.000000	125651526	5.976E-016	9.306E-015	204	1.243E+001	4.540E+001	1.408E-001	1.595E-002	1.286E+000	7.785E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10057218	17	38074149.000000	38074149	5.991E-016	9.310E-015	204	1.243E+001	4.540E+001	-1.351E-001	1.531E-002	1.276E+000	7.785E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00654814	17	74865068.000000	74865068	6.237E-016	9.673E-015	204	1.243E+001	4.536E+001	1.420E-001	1.611E-002	1.262E+000	7.773E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17793621	15	26108084.000000	26108084	6.453E-016	9.989E-015	204	1.243E+001	4.532E+001	1.383E-001	1.569E-002	1.338E+000	7.764E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06564900	2	164592568.000000	164592568	6.493E-016	1.003E-014	204	1.243E+001	4.532E+001	1.502E-001	1.704E-002	1.300E+000	7.762E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg21972382	2	29339076.000000	29339076	6.748E-016	1.040E-014	204	1.243E+001	4.528E+001	1.586E-001	1.801E-002	1.381E+000	7.752E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22459146	3	172167030.000000	172167030	7.071E-016	1.088E-014	204	1.243E+001	4.523E+001	1.453E-001	1.651E-002	1.490E+000	7.739E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg09936561	4	9783623.000000	9783623	7.161E-016	1.100E-014	204	1.243E+001	4.522E+001	1.441E-001	1.638E-002	1.507E+000	7.735E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07748540	11	104034619.000000	104034619	7.397E-016	1.134E-014	204	1.243E+001	4.519E+001	1.382E-001	1.572E-002	1.227E+000	7.726E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02164046	3	187388148.000000	187388148	7.974E-016	1.220E-014	204	1.243E+001	4.511E+001	1.488E-001	1.695E-002	1.551E+000	7.706E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13791131	11	2161892.000000	2161892	8.232E-016	1.257E-014	204	1.243E+001	4.508E+001	1.494E-001	1.703E-002	1.376E+000	7.697E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg09577651	20	1600705.000000	1600705	8.318E-016	1.266E-014	204	1.243E+001	4.507E+001	-1.421E-001	1.620E-002	1.359E+000	7.694E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10908369	2	68547256.000000	68547256	8.325E-016	1.266E-014	204	1.243E+001	4.507E+001	1.358E-001	1.548E-002	1.306E+000	7.694E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02847500	23	139587184.000000	139587184	8.508E-016	1.292E-014	204	1.243E+001	4.505E+001	1.401E-001	1.598E-002	1.395E+000	7.688E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14614211	10	28034247.000000	28034247	8.960E-016	1.357E-014	204	1.243E+001	4.499E+001	1.511E-001	1.724E-002	1.581E+000	7.674E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13652336	8	68864012.000000	68864012	9.013E-016	1.363E-014	204	1.243E+001	4.499E+001	1.578E-001	1.802E-002	1.328E+000	7.672E+001	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
